replicate	genotype	treatment	flat	pot	colony
Bac028	ein2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b08	6.247797847
Bac028	dde2/ein2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b01	7.211585674
Bac028	dde2/ein2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b01	7.194250112
Bac028	dde2/ein2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b03	6.531099076
Bac028	dde2/ein2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b03	6.841083914
Bac028	dde2/ein2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b05	6.883281594
Bac028	dde2/ein2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b05	5.929039084
Bac028	dde2/ein2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b07	6.789377091
Bac028	dde2/ein2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b07	6.326979093
Bac028	rpm1/rps2	avrRpt2	flatavrRpt2b1	potavrRpt2b01	6.053977821
Bac028	rpm1/rps2	avrRpt2	flatavrRpt2b1	potavrRpt2b01	6.548827842
Bac028	rpm1/rps2	avrRpt2	flatavrRpt2b1	potavrRpt2b03	6.281221602
Bac028	rpm1/rps2	avrRpt2	flatavrRpt2b1	potavrRpt2b03	6.211585674
Bac028	rpm1/rps2	avrRpt2	flatavrRpt2b1	potavrRpt2b05	5.891250523
Bac028	rpm1/rps2	avrRpt2	flatavrRpt2b1	potavrRpt2b05	6.473107129
Bac028	rpm1/rps2	avrRpt2	flatavrRpt2b1	potavrRpt2b07	6.192280519
Bac028	rpm1/rps2	avrRpt2	flatavrRpt2b1	potavrRpt2b07	6.297015869
Bac028	npr1	avrRpt2	flatavrRpt2b1	potavrRpt2b02	5.557428014
Bac028	npr1	avrRpt2	flatavrRpt2b1	potavrRpt2b02	4.96380119
Bac028	npr1	avrRpt2	flatavrRpt2b1	potavrRpt2b04	5.172077133
Bac028	npr1	avrRpt2	flatavrRpt2b1	potavrRpt2b04	5.381336755
Bac028	npr1	avrRpt2	flatavrRpt2b1	potavrRpt2b06	5.473107129
Bac028	npr1	avrRpt2	flatavrRpt2b1	potavrRpt2b06	4.540053918
Bac028	npr1	avrRpt2	flatavrRpt2b1	potavrRpt2b08	4.51261567
Bac028	npr1	avrRpt2	flatavrRpt2b1	potavrRpt2b08	4.574133708
Bac025	_Col	avrRpt2	flatavrRpt2c1	potavrRpt2c01	4.483326294
Bac025	_Col	avrRpt2	flatavrRpt2c1	potavrRpt2c01	4.393925883
Bac025	_Col	avrRpt2	flatavrRpt2c1	potavrRpt2c03	3.929039084
Bac025	_Col	avrRpt2	flatavrRpt2c1	potavrRpt2c03	4.192280519
Bac025	_Col	avrRpt2	flatavrRpt2c1	potavrRpt2c05	4.493310515
Bac025	_Col	avrRpt2	flatavrRpt2c1	potavrRpt2c05	4.297015869
Bac025	_Col	avrRpt2	flatavrRpt2c1	potavrRpt2c07	4.628009089
